bet_id,created_at,user_id,fixture_id,pick_type
bet_001,2026-06-10T08:00:00.000Z,u_000,MEX-RSA,home
bet_002,2026-06-10T08:05:00.000Z,u_001,MEX-RSA,draw
bet_003,2026-06-10T08:10:00.000Z,u_002,MEX-RSA,home
bet_004,2026-06-10T08:15:00.000Z,u_003,MEX-RSA,home
bet_005,2026-06-10T09:00:00.000Z,u_000,KOR-CZE,away
bet_006,2026-06-10T09:05:00.000Z,u_001,KOR-CZE,home
bet_007,2026-06-10T09:10:00.000Z,u_002,KOR-CZE,home
bet_008,2026-06-10T09:15:00.000Z,u_003,KOR-CZE,draw
bet_009,2026-06-10T09:20:00.000Z,u_004,KOR-CZE,away
bet_010,2026-06-10T10:00:00.000Z,u_000,CAN-BIH,home
bet_011,2026-06-10T10:05:00.000Z,u_001,CAN-BIH,away
bet_012,2026-06-10T10:10:00.000Z,u_002,CAN-BIH,home
bet_013,2026-06-10T10:15:00.000Z,u_003,CAN-BIH,home
bet_014,2026-06-10T10:20:00.000Z,u_004,CAN-BIH,home
bet_015,2026-06-10T11:00:00.000Z,u_000,USA-PAR,home
bet_016,2026-06-10T11:05:00.000Z,u_001,USA-PAR,home
bet_017,2026-06-10T11:10:00.000Z,u_003,USA-PAR,away
bet_018,2026-06-10T11:15:00.000Z,u_004,USA-PAR,draw
bet_019,2026-06-10T12:00:00.000Z,u_000,BRA-MAR,home
bet_020,2026-06-10T12:05:00.000Z,u_001,BRA-MAR,away
bet_021,2026-06-10T12:10:00.000Z,u_002,BRA-MAR,home
bet_022,2026-06-10T12:15:00.000Z,u_003,BRA-MAR,draw
bet_023,2026-06-10T12:20:00.000Z,u_004,BRA-MAR,home
bet_024,2026-06-10T13:00:00.000Z,u_000,QAT-SUI,away
bet_025,2026-06-10T13:05:00.000Z,u_001,QAT-SUI,away
bet_026,2026-06-10T13:10:00.000Z,u_002,QAT-SUI,away
bet_027,2026-06-10T13:15:00.000Z,u_003,QAT-SUI,home
bet_028,2026-06-13T08:00:00.000Z,u_000,HAI-SCO,away
bet_029,2026-06-13T08:05:00.000Z,u_001,HAI-SCO,home
bet_030,2026-06-13T08:10:00.000Z,u_002,HAI-SCO,away
bet_031,2026-06-13T08:15:00.000Z,u_003,HAI-SCO,home
bet_032,2026-06-13T09:00:00.000Z,u_000,AUS-TUR,draw
bet_033,2026-06-13T09:05:00.000Z,u_001,AUS-TUR,home
bet_034,2026-06-13T09:10:00.000Z,u_002,AUS-TUR,away
bet_035,2026-06-13T09:15:00.000Z,u_003,AUS-TUR,draw
bet_036,2026-06-13T09:20:00.000Z,u_004,AUS-TUR,home
bet_037,2026-06-13T10:00:00.000Z,u_001,GER-CUR,home
bet_038,2026-06-13T10:05:00.000Z,u_002,GER-CUR,home
bet_039,2026-06-13T10:10:00.000Z,u_003,GER-CUR,away
bet_040,2026-06-13T10:15:00.000Z,u_004,GER-CUR,home
bet_041,2026-06-13T11:00:00.000Z,u_000,NED-JPN,home
bet_042,2026-06-13T11:05:00.000Z,u_001,NED-JPN,away
bet_043,2026-06-13T11:10:00.000Z,u_002,NED-JPN,home
bet_044,2026-06-13T11:15:00.000Z,u_003,NED-JPN,home
bet_045,2026-06-13T11:20:00.000Z,u_004,NED-JPN,draw
bet_046,2026-06-13T12:00:00.000Z,u_000,CIV-ECU,home
bet_047,2026-06-13T12:05:00.000Z,u_001,CIV-ECU,draw
bet_048,2026-06-13T12:10:00.000Z,u_002,CIV-ECU,away
bet_049,2026-06-13T12:15:00.000Z,u_003,CIV-ECU,home
