fixture_id,league,kickoff_at,home_team,away_team,handicap,status,result_home,result_away,note
MEX-RSA,Bảng A,2026-06-11T19:00:00.000Z,Mexico,Nam Phi,-1,finished,3,1,dữ liệu test
KOR-CZE,Bảng A,2026-06-12T02:00:00.000Z,Hàn Quốc,Séc,0,finished,1,1,dữ liệu test
CAN-BIH,Bảng B,2026-06-12T19:00:00.000Z,Canada,Bosnia,-0.5,finished,2,1,dữ liệu test
USA-PAR,Bảng D,2026-06-13T01:00:00.000Z,Mỹ,Paraguay,-1,finished,3,0,dữ liệu test
BRA-MAR,Bảng C,2026-06-13T22:00:00.000Z,Brazil,Ma Rốc,-2,finished,3,0,dữ liệu test
QAT-SUI,Bảng B,2026-06-13T19:00:00.000Z,Qatar,Thụy Sĩ,+0.5,finished,1,2,dữ liệu test
HAI-SCO,Bảng C,2026-06-14T01:00:00.000Z,Haiti,Scotland,1,upcoming,,
AUS-TUR,Bảng D,2026-06-14T04:00:00.000Z,Úc,Thổ Nhĩ Kỳ,0,upcoming,,
GER-CUR,Bảng E,2026-06-14T17:00:00.000Z,Đức,Curaçao,-2,upcoming,,
NED-JPN,Bảng F,2026-06-14T20:00:00.000Z,Hà Lan,Nhật Bản,-0.5,upcoming,,
CIV-ECU,Bảng E,2026-06-14T23:00:00.000Z,Bờ Biển Ngà,Ecuador,0,upcoming,,
SWE-TUN,Bảng F,2026-06-15T02:00:00.000Z,Thụy Điển,Tunisia,-0.5,upcoming,,
ESP-CPV,Bảng H,2026-06-15T16:00:00.000Z,Tây Ban Nha,Cabo Verde,-2,upcoming,,
BEL-EGY,Bảng G,2026-06-15T19:00:00.000Z,Bỉ,Ai Cập,-1,upcoming,,
KSA-URU,Bảng H,2026-06-15T22:00:00.000Z,Ả Rập Xê Út,Uruguay,0.5,upcoming,,
IRN-NZL,Bảng G,2026-06-16T01:00:00.000Z,Iran,New Zealand,-0.5,upcoming,,
FRA-SEN,Bảng I,2026-06-16T19:00:00.000Z,Pháp,Senegal,-1,upcoming,,
IRQ-NOR,Bảng I,2026-06-16T22:00:00.000Z,Iraq,Na Uy,0.5,upcoming,,
ARG-ALG,Bảng J,2026-06-17T01:00:00.000Z,Argentina,Algérie,-1.5,upcoming,,
