pick_id,created_at,user_id,fixture_id,pick_type
pick_001,2026-06-10T08:00:00.000Z,u_000,MEX-RSA,home
pick_002,2026-06-10T08:05:00.000Z,u_001,MEX-RSA,draw
pick_003,2026-06-10T08:10:00.000Z,u_002,MEX-RSA,home
pick_004,2026-06-10T08:15:00.000Z,u_003,MEX-RSA,home
pick_005,2026-06-10T09:00:00.000Z,u_000,KOR-CZE,away
pick_006,2026-06-10T09:05:00.000Z,u_001,KOR-CZE,home
pick_007,2026-06-10T09:10:00.000Z,u_002,KOR-CZE,home
pick_008,2026-06-10T09:15:00.000Z,u_003,KOR-CZE,draw
pick_009,2026-06-10T09:20:00.000Z,u_004,KOR-CZE,away
pick_010,2026-06-10T10:00:00.000Z,u_000,CAN-BIH,home
pick_011,2026-06-10T10:05:00.000Z,u_001,CAN-BIH,away
pick_012,2026-06-10T10:10:00.000Z,u_002,CAN-BIH,home
pick_013,2026-06-10T10:15:00.000Z,u_003,CAN-BIH,home
pick_014,2026-06-10T10:20:00.000Z,u_004,CAN-BIH,home
pick_015,2026-06-10T11:00:00.000Z,u_000,USA-PAR,home
pick_016,2026-06-10T11:05:00.000Z,u_001,USA-PAR,home
pick_017,2026-06-10T11:10:00.000Z,u_003,USA-PAR,away
pick_018,2026-06-10T11:15:00.000Z,u_004,USA-PAR,draw
pick_019,2026-06-10T12:00:00.000Z,u_000,BRA-MAR,home
pick_020,2026-06-10T12:05:00.000Z,u_001,BRA-MAR,away
pick_021,2026-06-10T12:10:00.000Z,u_002,BRA-MAR,home
pick_022,2026-06-10T12:15:00.000Z,u_003,BRA-MAR,draw
pick_023,2026-06-10T12:20:00.000Z,u_004,BRA-MAR,home
pick_024,2026-06-10T13:00:00.000Z,u_000,QAT-SUI,away
pick_025,2026-06-10T13:05:00.000Z,u_001,QAT-SUI,away
pick_026,2026-06-10T13:10:00.000Z,u_002,QAT-SUI,away
pick_027,2026-06-10T13:15:00.000Z,u_003,QAT-SUI,home
pick_028,2026-06-13T08:00:00.000Z,u_000,HAI-SCO,away
pick_029,2026-06-13T08:05:00.000Z,u_001,HAI-SCO,home
pick_030,2026-06-13T08:10:00.000Z,u_002,HAI-SCO,away
pick_031,2026-06-13T08:15:00.000Z,u_003,HAI-SCO,home
pick_032,2026-06-13T09:00:00.000Z,u_000,AUS-TUR,draw
pick_033,2026-06-13T09:05:00.000Z,u_001,AUS-TUR,home
pick_034,2026-06-13T09:10:00.000Z,u_002,AUS-TUR,away
pick_035,2026-06-13T09:15:00.000Z,u_003,AUS-TUR,draw
pick_036,2026-06-13T09:20:00.000Z,u_004,AUS-TUR,home
pick_037,2026-06-13T10:00:00.000Z,u_001,GER-CUR,home
pick_038,2026-06-13T10:05:00.000Z,u_002,GER-CUR,home
pick_039,2026-06-13T10:10:00.000Z,u_003,GER-CUR,away
pick_040,2026-06-13T10:15:00.000Z,u_004,GER-CUR,home
pick_041,2026-06-13T11:00:00.000Z,u_000,NED-JPN,home
pick_042,2026-06-13T11:05:00.000Z,u_001,NED-JPN,away
pick_043,2026-06-13T11:10:00.000Z,u_002,NED-JPN,home
pick_044,2026-06-13T11:15:00.000Z,u_003,NED-JPN,home
pick_045,2026-06-13T11:20:00.000Z,u_004,NED-JPN,draw
pick_046,2026-06-13T12:00:00.000Z,u_000,CIV-ECU,home
pick_047,2026-06-13T12:05:00.000Z,u_001,CIV-ECU,draw
pick_048,2026-06-13T12:10:00.000Z,u_002,CIV-ECU,away
pick_049,2026-06-13T12:15:00.000Z,u_003,CIV-ECU,home
